Distance (m),Elevation (m)
0,2318.699462890625
25.120892651775442,2318.545654296875
50.241785303550884,2318.160400390625
75.36267795532632,2315.422119140625
100.48357060710177,2314.338134765625
125.60446325887722,2316.083740234375
150.72535591065264,2316.405517578125
175.8462485624281,2315.64892578125
200.96714121420354,2316.23095703125
226.08803386597899,2317.4580078125
251.20892651775443,2314.174072265625
276.32981916952986,2310.283935546875
301.4507118213053,2307.447021484375
326.57160447308075,2308.212158203125
351.6924971248562,2309.133056640625
376.81338977663165,2310.272216796875
401.9342824284071,2311.963134765625
427.0551750801825,2310.620361328125
452.17606773195797,2309.625
477.2969603837334,2309.242919921875
502.41785303550887,2308.442138671875
527.5387456872843,2306.675048828125
552.6596383390597,2304.79833984375
577.7805309908351,2302.113037109375
602.9014236426106,2299.810546875
628.0223162943861,2298.0537109375
653.1432089461615,2296.70361328125
678.2641015979369,2295.387451171875
703.3849942497123,2294.458984375
728.5058869014878,2293.530517578125
753.6267795532633,2291.52685546875
778.7476722050387,2288.030029296875
803.8685648568141,2284.66357421875
828.9894575085896,2281.484619140625
854.110350160365,2277.365234375
879.2312428121405,2279.0986328125
904.3521354639159,2281.12939453125
929.4730281156914,2287.941650390625
954.5939207674668,2298.322021484375
979.7148134192422,2307.973876953125
1004.8357060710177,2311.13623046875
1029.9565987227932,2313.456298828125
1055.0774913745686,2316.507080078125
1080.198384026344,2320.289306640625
1105.3192766781194,2323.72998046875
1130.4401693298948,2326.296630859375
1155.5610619816703,2328.3701171875
1180.6819546334457,2329.982177734375
1205.802847285221,2333.3505859375
1230.9237399369968,2337.617919921875
1256.0446325887722,2342.107177734375
1281.1655252405476,2345.0966796875
1306.286417892323,2351.84326171875
1331.4073105440984,2361.0595703125
1356.5282031958739,2371.46923828125
1381.6490958476493,2374.708251953125
1406.7699884994247,2374.507080078125
1431.8908811512001,2378.40185546875
1457.0117738029755,2380.588134765625
1482.1326664547512,2380.95068359375
1507.2535591065266,2383.2880859375
1532.374451758302,2387.459228515625
1557.4953444100775,2390.55810546875
1582.6162370618529,2393.1259765625
1607.7371297136283,2394.855712890625
1632.8580223654037,2403.31640625
1657.9789150171791,2410.90673828125
1683.0998076689546,2418.439697265625
1708.22070032073,2424.7998046875
1733.3415929725054,2430.576904296875
1758.462485624281,2432.581787109375
1783.5833782760565,2439.627685546875
1808.7042709278319,2445.803466796875
1833.8251635796073,2451.869140625
1858.9460562313827,2458.94140625
1884.0669488831581,2466.677490234375
1909.1878415349336,2473.45263671875
1934.308734186709,2478.486083984375
1959.4296268384844,2484.60693359375
1984.5505194902598,2491.639404296875
2009.6714121420355,2499.26953125
2034.792304793811,2504.569091796875
2059.9131974455863,2507.800048828125
2085.0340900973615,2512.342529296875
2110.154982749137,2519.441162109375
2135.2758754009124,2526.21533203125
2160.396768052688,2533.666259765625
2185.5176607044637,2541.9345703125
2210.638553356239,2550.497802734375
2235.7594460080145,2558.35205078125
2260.8803386597897,2565.6025390625
2286.0012313115653,2571.678955078125
2311.1221239633405,2577.443115234375
2336.243016615116,2584.860107421875
2361.3639092668914,2591.086181640625
2386.484801918667,2599.7421875
2411.605694570442,2606.390869140625
2436.726587222218,2611.764892578125
2461.8474798739935,2618.68798828125
2486.9683725257687,2625.31640625
2512.0892651775443,2632.661865234375
2537.2101578293195,2638.3671875
2562.331050481095,2647.03857421875
2587.4519431328704,2656.601806640625
2612.572835784646,2658.208740234375
2637.693728436421,2665.471435546875
2662.814621088197,2672.54443359375
2687.9355137399725,2677.771484375
2713.0564063917477,2688.49072265625
2738.1772990435234,2699.502685546875
2763.2981916952986,2699.847900390625
2788.419084347074,2709.897216796875
2813.5399769988494,2715.656005859375
2838.660869650625,2722.11376953125
2863.7817623024002,2733.45654296875
2888.902654954176,2740.219482421875
2914.023547605951,2743.26513671875
2939.1444402577267,2754.2197265625
2964.2653329095024,2764.875732421875
2989.3862255612776,2771.938720703125
3014.507118213053,2786.879150390625
3039.6280108648284,2789.114501953125
3064.748903516604,2803.949951171875
3089.8697961683793,2810.178955078125
3114.990688820155,2810.87744140625
3140.11158147193,2822.93359375
3165.2324741237057,2834.065185546875
3190.353366775481,2842.60595703125
3215.4742594272566,2855.596923828125
3240.5951520790322,2867.477294921875
3265.7160447308074,2879.35009765625
3290.836937382583,2889.79052734375
3315.9578300343583,2895.347412109375
3341.078722686134,2904.640625
3366.199615337909,2891.74462890625
3391.3205079896848,2903.76025390625
3416.44140064146,2916.794677734375
3441.5622932932356,2927.879638671875
3466.683185945011,2939.326904296875
3491.8040785967864,2951.908203125
3516.924971248562,2966.93505859375
3542.0458639003373,2982.24951171875
3567.166756552113,2993.731689453125
3592.287649203888,3005.33447265625
3617.4085418556638,3016.115966796875
3642.529434507439,3030.650390625
3667.6503271592146,3038.469970703125
3692.77121981099,3047.4423828125
3717.8921124627655,3062.93017578125
3743.0130051145406,3075.869873046875
3768.1338977663163,3085.1953125
3793.254790418092,3096.735595703125
3818.375683069867,3101.646728515625
3843.496575721643,3105.70458984375
3868.617468373418,3115.685302734375
3893.7383610251936,3125.711181640625
3918.859253676969,3134.978271484375
3943.9801463287445,3142.02685546875
3969.1010389805197,3152.17333984375
3994.2219316322953,3161.264892578125
4019.342824284071,3168.0625
4044.463716935846,3177.5029296875
4069.584609587622,3188.88623046875
4094.705502239397,3197.477783203125
4119.826394891173,3196.32958984375
4144.947287542948,3199.082763671875
4170.068180194723,3210.166259765625
4195.189072846499,3219.919921875
4220.309965498274,3228.510009765625
4245.43085815005,3236.921142578125
4270.551750801825,3239.33740234375
4295.6726434536,3241.924560546875
4320.793536105376,3251.3037109375
4345.914428757152,3266.47607421875
4371.035321408927,3281.725830078125
4396.156214060702,3294.5185546875
4421.277106712478,3303.6171875
4446.397999364253,3309.679443359375
4471.518892016029,3319.11767578125
4496.639784667804,3330.246826171875
4521.760677319579,3339.839599609375
4546.881569971355,3345.063720703125
4572.002462623131,3343.55419921875
4597.123355274906,3350.94775390625
4622.244247926681,3359.4130859375
4647.365140578457,3363.34521484375
4672.486033230232,3374.1865234375
4697.606925882008,3386.352294921875
4722.727818533783,3400.135009765625
4747.848711185558,3411.8154296875
4772.969603837334,3416.93603515625
4798.09049648911,3424.5224609375
4823.211389140884,3428.754638671875
4848.33228179266,3436.6005859375
4873.453174444436,3445.159912109375
4898.574067096211,3454.513671875
4923.694959747987,3451.41015625
4948.815852399762,3459.977783203125
4973.936745051537,3460.989501953125
4999.057637703313,3474.269287109375
5024.178530355089,3481.141845703125
5049.299423006863,3491.402587890625
5074.420315658639,3501.14990234375
5099.541208310415,3512.21533203125
5124.66210096219,3523.67822265625
5149.782993613966,3535.07958984375
5174.903886265741,3546.327392578125
5200.024778917516,3557.356201171875
5225.145671569292,3564.279541015625
5250.266564221068,3573.703125
5275.387456872842,3586.644775390625
5300.508349524618,3595.3642578125
5325.629242176394,3606.813232421875
5350.750134828169,3616.122802734375
5375.871027479945,3627.9326171875
5400.99192013172,3639.73974609375
5426.112812783495,3653.163818359375
5451.233705435271,3668.84033203125
5476.354598087047,3681.91796875
5501.4754907388215,3691.732666015625
5526.596383390597,3697.647705078125
5551.717276042373,3696.8779296875
5576.838168694148,3698.6953125
5601.959061345923,3697.9365234375
5627.079953997699,3697.22265625
5652.200846649474,3697.277587890625
5677.32173930125,3699.06591796875
5702.442631953026,3700.075439453125
5727.5635246048005,3702.610107421875
5752.684417256576,3700.683837890625
5777.805309908352,3692.48486328125
5802.926202560127,3685.12255859375
5828.047095211902,3690.765869140625
5853.167987863678,3700.630859375
5878.2888805154535,3701.42333984375
5903.409773167229,3700.7109375
5928.530665819005,3701.99169921875
5953.6515584707795,3704.282470703125
5978.772451122555,3704.55517578125
6003.893343774331,3704.232177734375
6029.014236426106,3703.344482421875
6054.135129077881,3704.2119140625
6079.256021729657,3703.0166015625
6104.3769143814325,3701.3369140625
6129.497807033208,3701.2568359375
6154.618699684983,3703.239013671875
6179.7395923367585,3698.604736328125
6204.860484988534,3695.24462890625
6229.98137764031,3691.035400390625
6255.102270292085,3685.01806640625
6280.22316294386,3683.18017578125
6305.344055595636,3679.458251953125
6330.4649482474115,3671.267822265625
6355.585840899187,3663.716552734375
6380.706733550962,3656.5126953125
6405.8276262027375,3650.12255859375
6430.948518854513,3643.34228515625
6456.069411506289,3632.832275390625
6481.1903041580645,3621.826416015625
6506.311196809839,3610.41064453125
6531.432089461615,3603.3193359375
6556.5529821133905,3598.420166015625
6581.673874765166,3592.17919921875
6606.794767416941,3585.23876953125
6631.9156600687165,3579.72998046875
6657.036552720492,3575.76171875
6682.157445372268,3570.8681640625
6707.2783380240435,3565.243408203125
6732.399230675818,3557.224365234375
6757.520123327594,3549.187744140625
6782.6410159793695,3541.23779296875
6807.761908631145,3536.58984375
6832.88280128292,3529.632080078125
6858.003693934696,3522.726318359375
6883.124586586471,3515.762451171875
6908.245479238247,3507.716796875
6933.366371890022,3499.9375
6958.487264541797,3492.7666015625
6983.608157193573,3484.748291015625
7008.7290498453485,3475.777587890625
7033.849942497124,3470.383056640625
7058.970835148899,3465.10009765625
7084.091727800675,3459.32861328125
7109.21262045245,3452.5302734375
7134.333513104226,3444.337646484375
7159.454405756001,3437.03369140625
7184.575298407776,3429.9423828125
7209.696191059552,3420.90576171875
7234.8170837113275,3409.025634765625
7259.937976363103,3395.4453125
7285.058869014878,3382.173095703125
7310.179761666654,3369.52001953125
7335.300654318429,3358.80126953125
7360.421546970205,3349.515625
7385.54243962198,3343.6533203125
7410.663332273755,3335.903076171875
